bin_end,token_amount,recorded_notional_usd,record_count,low,high,price,observed,thin_bin,market_id,displacement_pp,rv_pp,jump_z,rv_z,baseline_ready,jump_alert,volatility_alert,alert,score
2024-12-21 20:25:00+00:00,222.0,10.54,22,0.047,0.048,0.047545045045045045,True,False,507300,-0.005019305019305503,0.014205101770343101,-0.0016784075587833458,0.0005272821782939113,True,False,False,False,0.0005272821782939113
2024-12-21 20:30:00+00:00,292.0,13.83,28,0.047,0.048,0.047472602739726026,True,False,507300,-0.0010505368382082714,0.011337215362134752,-0.009593278483052692,-0.005134091986996613,True,False,False,False,-0.005134091986996613
2024-12-21 20:35:00+00:00,333.51,15.84,31,0.047,0.048,0.04752172348655213,True,False,507300,0.006097263330980679,0.012151644390930168,0.0005001745024921234,-0.0034049271266829682,True,False,False,False,0.0005001745024921234
2024-12-21 20:40:00+00:00,342.51,16.24,35,0.047,0.048,0.04745695016203907,True,False,507300,-0.008809488300597773,0.010888672525685558,0.006182132353430014,-0.005930870857172189,True,False,False,False,0.006182132353430014
2024-12-21 20:45:00+00:00,454.2,21.59,41,0.047,0.048,0.047518714222809344,True,False,507300,0.004611148308331786,0.01020942238329985,-0.0022145476311019596,-0.0072893711419436055,True,False,False,False,-0.0022145476311019596
2024-12-21 20:50:00+00:00,362.0,17.16,38,0.047,0.048,0.04747790055248619,True,False,507300,-0.004382293406593463,0.009836736479420113,-0.0029297653462823092,-0.008034742949703078,True,False,False,False,-0.0029297653462823092
2024-12-21 20:55:00+00:00,407.0,19.34,40,0.047,0.048,0.047533169533169536,True,False,507300,0.0076219371130469005,0.00923862279447387,0.0035268566286994485,-0.009230970319595563,True,False,False,False,0.0035268566286994485
2024-12-21 21:00:00+00:00,294.0,13.97,27,0.047,0.048,0.04747278911564626,True,False,507300,-0.004592510716308618,0.00914669925782424,-0.0025206634458145583,-0.009411400335652104,True,False,False,False,-0.0025206634458145583
2024-12-21 21:05:00+00:00,224.0,10.64,21,0.047,0.048,0.04757142857142858,True,False,507300,0.009352801894238483,0.01281803311085341,0.007011251629007731,-0.0020653155723510466,True,False,False,False,0.007011251629007731
2024-12-21 21:10:00+00:00,318.0,15.09,30,0.047,0.048,0.0474811320754717,True,False,507300,-0.00520374576978358,0.014672761921127103,-0.0012981933388646338,0.0017085305299701405,True,False,False,False,0.0017085305299701405
2024-12-21 21:15:00+00:00,238.0,11.3,23,0.047,0.048,0.04752521008403361,True,False,507300,0.005242096838735388,0.014080507894925596,-0.0012101584819984579,0.0005884109593409306,True,False,False,False,0.0005884109593409306
2024-12-21 21:20:00+00:00,334.0,15.879999999999999,32,0.047,0.048,0.0475,True,False,507300,-0.007142857142857645,0.010359476993485644,0.002580029407283496,-0.006830506434925259,True,False,False,False,0.002580029407283496
